id,address,lat,lng,rate,carpark_type,carpark_type_str,is_ttc,rate_half_hour,capacity,max_height,payment_methods/0,payment_methods/1,payment_methods/2,payment_options/0,payment_options/1,payment_options/2,rate_details/periods/0/title,rate_details/periods/0/rates/0/when,rate_details/periods/0/rates/0/rate,rate_details/periods/0/rates/1/when,rate_details/periods/0/rates/1/rate,rate_details/periods/0/notes/0,rate_details/periods/0/notes/1,rate_details/periods/0/notes/2,rate_details/periods/0/notes/3,enable_streetview,streetview_lat,streetview_long,streetview_yaw,streetview_pitch,streetview_zoom,rate_details/periods/1/title,rate_details/periods/1/rates/0/when,rate_details/periods/1/rates/0/rate,rate_details/periods/1/rates/1/when,rate_details/periods/1/rates/1/rate,rate_details/periods/1/notes/0,rate_details/periods/1/notes/1,rate_details/periods/1/notes/2,rate_details/periods/1/notes/3,rate_details/periods/1/notes/4,rate_details/periods/1/notes/5,rate_details/periods/1/notes/6,payment_options/3,rate_details/periods/2/title,rate_details/periods/2/rates/0/when,rate_details/periods/2/rates/0/rate,rate_details/periods/2/rates/1/when,rate_details/periods/2/rates/1/rate,rate_details/periods/2/notes/0,rate_details/periods/2/notes/1,rate_details/periods/2/notes/2,rate_details/periods/2/notes/3,rate_details/addenda/0,rate_details/addenda/1,rate_details/periods/0/rates/2/when,rate_details/periods/0/rates/2/rate,rate_details/periods/2/rates/2/when,rate_details/periods/2/rates/2/rate,rate_details/periods/3/title,rate_details/periods/3/rates/0/when,rate_details/periods/3/rates/0/rate,rate_details/periods/3/rates/1/when,rate_details/periods/3/rates/1/rate,rate_details/periods/4/title,rate_details/periods/4/rates/0/when,rate_details/periods/4/rates/0/rate,rate_details/periods/4/rates/1/when,rate_details/periods/4/rates/1/rate
17,716 Pape Avenue,43.679713,-79.345375,$1.00 / Half Hour,surface,Surface,false,1.00,85,,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$6.50,Night Maximum (6pm - 7am),$5.00,,,,,yes,43.679806,-79.345193,204.47,1.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,75 Holly Street,43.706469,-79.396348,$1.75 / Half Hour,garage,Garage,false,1.75,460,1.93,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Auto Express Pay Stations,Credit Card at Entry & Exit,Customer Assistance Booth,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$12.00,Night Maximum (6pm - 7am),$5.00,Unreserved Monthly permit price - $200,Permits currently available,Inquires at monthlypermits@greenp.com or,416-393-7348,yes,43.706305,-79.396497,17.91,-9.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,45 Bay Street,43.643785,-79.378002,$2.50 / Half Hour,surface,Surface,false,2.50,330,0.00,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Cashier,,,Monday - Friday,Day Maximum (5:30am - 6pm),$18.00,Night Maximum (6pm - 5:30am),$6.00,,,,,yes,43.643724,-79.378203,17.79,-9.79,0,Saturday/Sunday/Holidays,Day Maximum (5:30am - 5:30am),$8.00,Night Maximum (6pm - 5:30am),$5.00,,,,,,,,,Air Canada Centre Event,Flat Rate,$25.00,,,Unreserved Monthly permit price - $260,Permits currently not available,Inquires at monthlypermits@greenp.com or,416-393-7348,,,,,,,,,,,,,,,,
34,25 Dundas Street East,43.656004,-79.379933,$2.50 / Half Hour,garage,Garage,false,2.50,265,2.10,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Auto Express Pay Stations,Credit Card at Entry & Exit,Customer Assistance Booth,Monday - Saturday & Holidays,Day Maximum (7am - 6pm),$19.00,Night Maximum (6pm - 7am),$8.00,,,,,yes,43.655987,-79.379443,292.30,-13.84,0,Sunday,Maximum (Sunday 7am - Monday 7am),$12.00,,,"Unreserved Monthly permit price - $360
Permits currently not available 
Inquires at monthlypermits@greenp.com or
416-393-7348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,110 Queen Street West (Nathan Phillips Square Garage),43.651696,-79.383699,$2.50 / Half Hour,garage,Garage,false,2.50,2087,1.93,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Credit Card at Entry & Exit,Cashier,,Monday - Friday,Day Maximum (7am - 6pm),$15.00,Night Maximum (6pm - 7am),$6.00,,,,,yes,43.651372,-79.384324,359.08,-4.94,0,Saturday,Day Maximum (7am - 6pm),$6.00,Night Maximum (6pm - 7am),$6.00,,,,,,,,,Sunday & Holidays,Maximum (7am - 7am),$6.00,,,Unreserved Monthly permit price - $270,Permits currently available,Inquires at monthlypermits@greenp.com or,416-393-7348,,,,,,,,,,,,,,,,
39,20 Castlefield Avenue,43.711828,-79.400082,$1.75 / Half Hour,surface,Surface,false,1.75,163,0.00,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Pay at Exit Lane Stations,Credit Card at Entry & Exit,Cashier,Monday - Saturday,Day Maximum (7am - 6pm),$10.00,Night Maximum (6pm - 7am),$6.00,,,,,yes,43.711769,-79.399856,288.88,-10.04,0,Sunday & Holidays,Maximum (7am - 7am),$4.00,,,"Unreserved Monthly permit price - $165
Permits currently not available 
Inquires at monthlypermits@greenp.com or
416-393-7348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7 Norton Avenue,43.678365,-79.443882,$1.00 / Half Hour,surface,Surface,false,1.00,64,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$8.00,Night Maximum (6pm - 7am),$4.00,,,,,yes,43.678607,-79.443979,117.64,3.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,91 Via Italia,43.676817,-79.445239,$1.00 / Half Hour,garage,Garage,false,1.00,169,1.93,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Auto Express Pay Stations,Credit Card at Entry & Exit,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$5.00,Night Maximum (6pm - 7am),$3.00,Unreserved Monthly permit price - $75,Permits currently not available,Inquires at monthlypermits@greenp.com or,416-393-7348,yes,43.676657,-79.445339,16.18,1.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2 Church Street (St. Lawrence Garage),43.646440,-79.373066,$2.50 / Half Hour,garage,Garage,false,2.50,2008,1.98,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Auto Express Pay Stations,Credit Card at Entry & Exit,Customer Assistance Booth,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$10.00,Night Maximum (6pm - 7am),$5.00,,,,,yes,43.646949,-79.373181,172.09,-6.77,0,SATURDAY SPECIAL,,,,,$1.00 EACH HOUR FOR THE FIRST 2 HOURS - REGULAR RATES THEREAFTER,Unreserved Monthly permit price - $180,"Permits currently unavailable 
Inquires at monthlypermits@greenp.com or
416-393-7348",,,,,,,,,,,,,,,(ENTRY BETWEEN 5am - 6pm ONLY),,,,,,,,,,,,,,,
44,14 Fuller Avenue,43.640788,-79.439542,$0.75 / Half Hour,surface,Surface,false,0.75,53,2.13,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$3.00,Night Maximum (6pm - 7am),$2.00,"Unreserved Monthly permit price - $40
Permits currently available 
Inquires at monthlypermits@greenp.com or
416-393-7348",,,,yes,43.640585,-79.439274,299.87,-11.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,111 Broadview Avenue,43.659179,-79.349774,$1.00 / Half Hour,surface,Surface,false,1.00,92,2.60,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$6.00,Night Maximum (6pm - 7am),$4.00,"Unreserved Monthly permit price - $70
Permits currently available 
Inquires at monthlypermits@greenp.com or
416-393-7348",,,,yes,43.659055,-79.349893,18.05,3.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,125 Burnaby Blvd.,43.704445,-79.412076,$1.25 / Half Hour,surface,Surface,false,1.25,174,2.67,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$8.00,Night Maximum (6pm - 7am),$4.00,,,,,yes,43.704398,-79.411786,300.61,3.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,85 Lee Avenue,43.670037,-79.297621,$1.00 / Half Hour,surface,Surface,false,1.00,68,2.67,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$6.50,Night Maximum (6pm - 7am),$4.00,,,,,yes,43.669913,-79.297749,6.26,8.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,365 Lippincott Street,43.665054,-79.409662,$1.25 / Half Hour,surface,Surface,false,1.25,144,2.67,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$7.00,Night Maximum (6pm - 7am),$7.00,"Unreserved Monthly permit price - $110
Permits currently available 
Inquires at monthlypermits@greenp.com or
416-393-7348",,,,yes,43.664799,-79.409746,16.41,7.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,40 York Street,43.645571,-79.382937,$3.00 / Half Hour,garage,Garage,false,3.00,323,1.95,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Pay at Exit Lane Stations,Credit Card at Entry & Exit,Cashier,Monday - Friday,Day Maximum (7am - 7pm),$18.00,Night Maximum (5pm - 7am),$6.00,,,,,yes,43.645805,-79.383737,169.83,-15.75,0,Saturday - Sunday,Maximum per 12 hour period (Sat 7am - Mon 7am),$7.00,,,Unreserved Monthly permit price - $350,Permits currently not available,Inquires at monthlypermits@greenp.com or,416-393-7348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,803 Richmond Street West,43.644546,-79.410778,$1.75 / Half Hour,surface,Surface,false,1.75,49,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$9.00,Night Maximum (6pm - 7am),$6.00,,,,,yes,43.644684,-79.410916,138.29,-3.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,23 Bedford Park Avenue West,43.726770,-79.404330,$1.00 / Half Hour,surface,Surface,false,1.00,42,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Night Maximum (6pm - 9am),$3.00,,,,,,,yes,43.727065,-79.404618,121.70,-1.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,9 Bedford Road (Hotel Intercontinental),43.668655,-79.397475,$2.00 / Half Hour,garage,Garage,false,2.00,399,1.95,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Pay at Exit Lane Stations,Credit Card at Entry & Exit,Cashier,Monday - Saturday,Day Maximum (7am - 6pm),$12.00,Night Maximum (6pm - 7 am),$6.00,,,,,yes,43.668582,-79.397604,10.67,4.71,0,Sunday & Holidays,Maximum per 12 hour period (Sun 7am - Mon 7am),$6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1119 Queen Street West,43.642954,-79.424211,$1.50 / Half Hour,surface,Surface,false,1.50,29,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Maximum (Any 12 hr Period),$10.50,,,,,,,yes,43.643050,-79.424344,99.35,-3.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,265 Durie Street,43.650881,-79.479014,$1.00 / Half Hour,surface,Surface,false,1.00,155,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (9am - 6pm),$6.00,Night Maximum (6pm - 9am),$3.00,,,,,yes,43.650939,-79.479217,15.78,-1.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,20 St. Andrew Street (Kensington Garage),43.654303,-79.400079,$1.25 / Half Hour,garage,Garage,false,1.25,450,1.90,Bills,Coins,Charge (Visa / Mastercard / American Express Only),Auto Express Pay Stations,Credit Card at Entry & Exit,Customer Assistance Booth,Sunday - Friday & Holidays,Day Mximum (7am - 6pm),$5.50,Night Maximum (6pm - 7am),$4.00,,,,,yes,43.654219,-79.399523,286.22,-0.55,0,Saturday,Day Maximum (7am - 6pm),$6.00,Night Maximum (6pm - 7am),$4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,35 Bellevue Avenue,43.654184,-79.403176,$1.50 / Half Hour,surface,Surface,false,1.50,91,2.67,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Friday,Day Maximum (7am - 6pm),$12.00,Night Maximum (6pm - 7am),$3.00,,,,,yes,43.654187,-79.403324,33.58,2.92,0,Saturday - Sunday & Holidays,Day Maximum (7am - 6pm),NO MAXIMUM,Night Maximum (6pm - 7am),$3.00,,,,,,,,,,,,,,,,,,ATTENDED ON SATURDAY - CASH ONLY,,,,,,,,,,,,,,,
78,35 Erindale Avenue,43.677316,-79.357467,$1.50 / Half Hour,surface,Surface,false,1.50,93,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$9.00,Night Maximum (6pm - 7am),$4.00,,,,,yes,43.677441,-79.357920,106.20,3.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,405 Sherbourne Street,43.664520,-79.373502,$1.00 / Half Hour,surface,Surface,false,1.00,110,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday,Day Maximum (7am - 6pm),$6.00,Night Maximum (6pm - 7am),$4.00,,,,,yes,43.664658,-79.373660,84.65,-2.17,0,Monday - Thursday,Night Maximum (8pm - 7am),$8.00,,,,,,,,,,,Friday - Sunday,Flat Rate (8pm - 7am),$8.00,,,,,,,,,,,,,,,,,,,,,,
80,400 Keele Street,43.666110,-79.465045,$1.00 / Half Hour,surface,Surface,false,1.00,54,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$4.00,Night Maximum (6pm - 7am),$3.00,,,,,yes,43.666133,-79.464847,226.34,1.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,695 Lansdowne Avenue,43.658969,-79.442739,$1.00 / Half Hour,surface,Surface,false,1.00,40,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$4.00,Night Maximum (6pm - 7am),$3.00,,,,,yes,43.659089,-79.442998,36.53,-0.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,92 Margueretta Avenue,43.659412,-79.440143,$1.00 / Half Hour,surface,Surface,false,1.00,56,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$4.00,Night Maximum (6pm - 7am),$3.00,,,,,yes,43.659416,-79.439896,294.99,5.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,9 Salem Avenue,43.661011,-79.431667,$1.00 / Half Hour,surface,Surface,false,1.00,35,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$4.00,Night Maximum (6pm - 7am),$3.00,,,,,yes,43.661135,-79.431817,54.06,9.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,557 Palmerston Avenue,43.665039,-79.413579,$1.25 / Half Hour,surface,Surface,false,1.25,58,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$7.00,Night Maximum (6pm - 7am),$4.00,,,,,yes,43.665116,-79.413817,41.06,3.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,14 Arundel Avenue,43.678456,-79.351223,$1.25 / Half Hour,surface,Surface,false,1.25,83,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$7.00,Night Maximum (6pm - 7am),$6.00,,,,,yes,43.678635,-79.351051,224.34,0.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,25 Ferrier Avenue,43.679007,-79.348379,$1.00 / Half Hour,surface,Surface,false,1.00,47,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$7.00,Night Maximum (6pm - 7am),$6.00,,,,,yes,43.678964,-79.348556,27.42,1.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,20 Eaton Avenue,43.679954,-79.343948,$0.75 / Half Hour,surface,Surface,false,0.75,70,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$4.50,Night Maximum (6pm - 7am),$3.00,,,,,yes,43.679838,-79.344392,42.42,0.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,17 Eaton Avenue,43.680078,-79.343197,$0.75 / Half Hour,surface,Surface,false,0.75,30,,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (7am - 6pm),$4.50,Night Maximum (6pm - 7am),$3.00,,,,,yes,43.679992,-79.343341,28.30,8.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,265 Armadale Avenue,43.650283,-79.483039,$1.00 / Half Hour,surface,Surface,false,1.00,148,0.00,Coins,Charge (Visa / Mastercard / American Express Only),,Pay and Display,,,Monday - Sunday & Holidays,Day Maximum (9am - 6pm),$6.00,Night Maximum (6pm - 9am),$3.00,,,,,yes,43.650225,-79.483148,15.93,7.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
